#OS,Criado por,Tipo OS,Dt Criação,Viab/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS001/2011,Djalma,Implantação,06/01/11,EV0586/2010,20,26/01/2011,EILD,2 Mbps,,CTBC,Tubos Ipiranga,EILD 2 Mbps - Tubos Ipiranga,,Concluído,,18/01/2011,"1.033,83","275,00","620,00","1.928,83","1.171,96","275,00","690,00","2.136,96",Ok,"-208,13"
OS002/2011,Djalma,Implantação,19/01/11,,40,28/02/2011,Connect Flex,2 Mbps,,Banco Rural,,Connect Flex 2 Mbps - Lagoa Santa,"Rua Rio de Janeiro, 927 - 8o andar / R. João Azevedo - Lagoa Santa",Concluído,,10/03/2011,"2.593,13","740,00","5.667,00","9.000,13","3.749,43","740,00","4.956,15","9.445,58",Ok,"-445,45"
OS003/2011,Djalma,Manutenção,20/01/11,PE 035/2010,20,09/02/2011,,,,Telbrax,,Manutenção corretiva,Troca de cabo na Av. Raja Gabaglia,Concluído,,04/03/2011,"5.392,59","940,00","2.387,80","8.720,39","4.729,70","1.080,00","3.300,15","9.109,85",Ok,"-389,46"
OS004/2011,Djalma,Implantação,20/01/11,PE 056/2010,30,19/02/2011,Fibra Apagada,,,Banco Rural,,Enlace para atendimento de fibra apagada,"Rua Pouso Alegre, 2512 / Rio de Janeiro, 972",Concluído,,01/04/2011,"1.327,32","940,00","525,00","2.792,32","711,20","920,00","450,00","2.081,20",Ok,"711,12"
OS005/2011,Andrea,Implantação,21/01/11,,5,26/01/2011,IP Flex,2 Mbps,,Unimed,,IP Flex - 2Mbps - temporário,Substituída pela OS 010/2011,Cancelada,,04/03/2011,"1065,6",315,672,"2.052,60",,,,"0,00",-,"2.052,60"
OS006/2011,Andrea,Implantação,21/01/11,,5,26/01/2011,Connect Flex,5 Mbps,,Manoel Bernardes,,Mudança de Endereço,Manoel Bernardes,Concluído,,27/01/2011,"1.142,52","260,00",,"1.402,52","1.142,52","260,00",,"1.402,52",Ok,"0,00"
OS007/2011,Andrea,Implantação,21/01/11,,,,IP Flex,2 Mbps,,Dynpro,,Mudança interna,Dynpro Sistemas Ltda.,Concluído,,25/01/2011,"49,20","125,00",,"174,20","49,20","125,00",,"174,20",Ok,"0,00"
OS008/2011,Djalma,Implantação,24/01/11,,,,Connect Flex,??????,,Banco Rural,,"Interconexão entre galpões em Lagoa Santa, com construção de dutos e lançamento de cabos",Em conjunto com a O.S 02,Cancelada,,,,,,"0,00",,,,"0,00",-,"0,00"
OS009/2011,Andrea,Substituição de Equipamento,24/01/11,,,,,,,Minas Máquinas,,Troca de roteadores,,Concluído,,,,,,"0,00",,,,"0,00",Ok,"0,00"
OS010/2011,Andrea,Implantação,24/01/11,EV009/2011,5,29/01/2011,Connect Flex,2 Mbps,,Unimed,,Connect Flex - 2Mbps - temporário,"Av. Francisco Sales 1483 / Rua Domingos Vieira, 120",Concluído,,02/03/2011,"1.117,44","355,00","672,00","2.144,44","1.002,86","672,00","355,00","2.029,86",Ok,"114,58"
OS011/2011,Ariana,Implantação,28/01/11,,,,IP Flex,1 Mbps,,Hospital Vila da Serra,,Troca de roteador 1841 por roteador da Digitel,"Alameda da Serra, 499 - Vila da Serra",Concluído,,01/02/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS012/2011,Ariana,Implantação,31/01/11,,20,20/02/2011,Connect Flex,10 Mbps,,Montreal,,Connect Flex 10 Mbps           ,"Rua Prof. Magalhães Penido, 77 / Av. Contorno, 6920 (SVS)",Concluído,,05/02/2011,"1.577,80","280,00",,"1.857,80","1.577,80","280,00",,"1.857,80",Ok,"0,00"
OS013/2011,Djalma,Interconexão,01/02/11,,15,16/02/2011,Fibra Apagada,,,Telbrax,Wiband,PPI Wiband (POP SRA - Serra do Curral),Serra do Curral,Concluído,,25/02/2011,"7.048,41","230,00",,"7.278,41","7.048,41","230,00",,"7.278,41",Ok,"0,00"
OS014/2011,Djalma,Manutenção,10/02/11,,,,,,,Telbrax,,"Construção de MND e caixas R1, dutos laterais, rede subterrânea e lançamento cabo","Mudança de rota óptica próximo ferrovia, via MND Fonte Grande",Concluído,,01/04/2011,"2.356,23","2.790,00","10.934,00","16.080,23","6.782,82","2.790,00","2.510,00","12.082,82",Ok,"3.997,41"
OS015/2011,Djalma,Manutenção,11/02/11,,15,26/02/2011,,,,Telbrax,,"instalação de cabo óptico do dg 2º andar até sala 203, para interconexão switch",Sangria cabo 2º andar para atendimento almoxarifado,Concluído,,13/04/2011,"2.002,02","140,00","85,20","2.227,22","2.002,02","140,00","85,20","2.227,22",Ok,"0,00"
OS016/2011,Djalma,Implantação,14/02/11,PE 014/2011,2,16/02/2011,Fibra Apagada,,,Minerconsult,,Será instalado um cabo DROP entre CPD's,Instalação de cabo entre CPD para transferência de arquivos,Concluído,,15/02/2011,"49,60","180,00","48,00","277,60",,,,"0,00",Incompleta,"277,60"
OS017/2011,Djalma,Expansão,14/02/11,PE 013/2011,30,16/03/2011,,,,Telbrax,,"Lançamento de cabo novo e inserção de cabo em MND existente, será usado rede existente da CTBC","Mudança de rota óptica próximo ferrovia, via MND Barreiro",Concluído,,28/02/2011,"1.942,44","1.980,00","844,70","4.767,14","1.869,72","1.980,00","1.899,18","5.748,90",Ok,"-981,76"
OS018/2011,Rubens,Implantação,22/02/11,,,,,,,Minas Máquinas,,Troca de Roteador,"Richard / BR381, KM2, Rodovia Fernão Dias",Concluído,,22/02/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS019/2011,Rubens,Implantação,22/02/11,,,,,,,Minas Máquinas,,Trocar roteadores NRX5100 da Digitel por roteador Cisco 1841,"Richard / BR381, KM2, Rodovia Fernão Dias",Concluído,,25/02/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS020/2011,Andrea,Alteração de Serviço,22/02/11,,,,,2 Mbps,,Superbuy,,Alteração de velocidade para 2MBPS,"SIC - Superbuy - Rua. Bernardo Guimarães, 646 / 2º Andar,  Funcionários",Concluído,,23/02/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
