#OS,Criado por,Tipo OS,Dt Criação,Viabilidade/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS001/2012,Mário,Implantação,02/01/2012,,5,07/01/2012,,,,Telbrax,,Implantação de rota de fibra apagada redundante entre POP- Tratex e POP-BPT,Ponta A: POP Tratex/ Ponta B: POP-BPT,Concluído,,17/01/2011,"655,10","405,00",,"1.060,10",,,,"0,00",Incompleta,"1.060,10"
OS002/2012,Mário,Implantação,03/01/2012,,15,18/01/2012,EILD,50 Mbps,,Intelig Telecomunicações Ltda,MRV Engenharia,Implantação de EILD 50 Mbps para atendimento MRV,,Concluído,,05/01/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS003/2012,Mário,Implantação,03/01/2012,,6,09/01/2012,IP Flex Temporário,16 Mbps,,T4F,Cirque du Soleil,Implantação de IP Flex temporário de 16 Mbps para atendimento a evento da empresa T4F ,"Ponta A: Av. Clóvis Salgado, 1.400, pampulha - BH/MG",Concluído,,09/01/2012,"8.807,84","665,00","2.021,60","11.494,44","5.534,63","665,00","3.051,05","9.250,68",Ok,"2.243,76"
OS004/2012,Mário,Cancelamento,04/01/2012,,1,05/01/2012,EILD,2 Mbps,,Intelig Telecomunicações Ltda,Microcity,Cancelamento de pedido 357744,"Ponta A: Rua Jornalista Geraldo Teixeira da Costa, 61, Floresta/Ponta B: Alameda do Ingá, 650, Nova Lima - MG",Concluído,,05/01/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS005/2012,Mário,Mudança de endereço,04/01/2012,,20,24/01/2012,EILD,15 Mbps,,Global Crossing,Corval Corretora de Valores,OS para atender mudança de endereço da Ponta B das designações BHE-01-0032-02-003 /BHE-01-0032-02-004 ,"Novo endereço: Av. Bandeirantes, 1778, Sion - BH/MG",Concluído,,12/01/2012,"2511,34",230,"789,8","3.531,14","729,35",230,613,"1.572,35",Ok,"1.958,79"
OS006/2012,Mário,Mudança de endereço,05/01/2012,,1,06/01/2012,IP Flex,1 e 2 Mbps,,BHTEC,,Mudança de andar do local de entrega dos circuitos,Novo endereço: Mesmo endereço 4º andar,Concluído,,05/01/2012,"0,00","0,00",0,"0,00",,,,"0,00",Ok,"0,00"
OS007/2012,Mário,Implantação,09/01/2012,,29,07/02/2012,Connect Flex,10 Mbps,,ECX Card,,Implantação de Connect Flex entre a matriz e sala de backup,"Ponta A: Rua Rio de Janeiro, 600,11º andar,  centro BH/MG/ Ponta B: Av. Do Contorno, 5823,4º andar, Sion - BH/MG",Concluído,,26/01/2012,"4.691,56","840,00","1058,6","6.590,16","1.073,50","840,00",936,"2.849,50",Ok,"3.740,66"
OS008/2012,Mário,Expansão,09/01/2012,,15,24/01/2012,,,,Telbrax,Administrativo,Instalação de ar condicionado 2º andar ,"Rua Pirapetinga, 322, sl 209, Serra - BH/MG",Concluído,Ruan,19/03/2012,"6318,07",,5780,"12.098,07",,,,"0,00",Incompleta,"12.098,07"
OS009/2012,Mário,Implantação,09/01/2012,,15,24/01/2012,IP Flex,4 Mbps,,Suprema Informática,,Instalação de Ip Flex 4 Mbps,"Ponta A: Rua Aquiles Lobo, 111, Floresta, 2º andar - BH/MG",Concluído,,18/01/2012,"2058,8",430,"265,5","2.754,30","1.327,00","430,00","1.235,75","2.992,75",Ok,"-238,45"
OS010/2012,Mário,Implantação,11/01/2012,,1,20/04/2012,Connect Flex,100 Mbps,,Seven Internet,,Conexão PTT para Seven,"Rua Jorge Marine, 571",Em Execução,Djalma - Pendência Cliente - Falta lançamento cabo na serra do curral,,"0,55","190,00",,"190,55",,,,"0,00",-,"190,55"
OS011/2012,Mário,Cancelamento,16/01/2012,,1,17/01/2012,IP Flex,10 Mbps,,Via Telecom,,Cancelamento de designação BHE-05-0017-01-002 ,"Ponta A: Av. Prof Mário Werneck, , 42, Estoril",Concluído,,18/01/2012,0,0,0,"0,00",,,,"0,00",Ok,"0,00"
